country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jordan,4260,4110,4640,4760,4890,5140,5150,5350,5510,5650,6080,6450,6710,7000,7700,8390,8770,9170,9640,9940,9830,10k,10.2k,10.2k,9350,9130,8990,9580,9770,9960,9680,10.1k
Japan,20.1k,21.4k,22.1k,22.4k,23k,24.1k,25.3k,26k,25.8k,26.1k,27.7k,28.4k,29k,29.9k,31.4k,32.9k,34.5k,36.1k,36.2k,34.4k,36.3k,37.3k,38.6k,40.8k,41k,42.5k,42k,43k,43.7k,43.9k,43.6k,44.6k
Kazakhstan,,,,6820,6160,5880,6090,6370,6440,6630,7240,8540,9610,10.6k,11.7k,12.6k,13.9k,15.3k,15.4k,16k,16.7k,17.8k,19.1k,21.9k,22.2k,21.8k,21.5k,22.2k,22.9k,24k,24.4k,25.2k
Kenya,1670,1690,1660,1640,1680,1760,1830,1830,1870,1880,1880,1930,1920,1950,2050,2190,2320,2470,2460,2170,2320,2470,2550,2780,3040,3390,3970,4230,4500,4720,4660,5130
Kyrgyz Republic,,2380,2070,1790,1440,1370,1470,1600,1610,1640,1750,1910,1930,2090,2230,2300,2470,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5100,5000,4820,4860
Cambodia,,,,,,760,790,830,860,950,1040,1130,1190,1300,1440,1650,1850,2080,2210,2190,2330,2500,2730,2890,3020,3220,3510,3770,4090,4380,4330,4540
Kiribati,1360,1960,2010,1960,1990,2110,1850,2230,2500,2270,2430,2550,2440,2350,2250,2320,2310,2420,2420,2280,2380,2310,2650,3010,3430,4090,3490,3750,3890,4350,3830,3870
St. Kitts and Nevis,8740,8770,9150,9860,10.5k,11.2k,11.8k,12.6k,12.3k,12.6k,14.1k,14.9k,15.2k,14.6k,15.9k,18.1k,19.5k,20.2k,22.9k,22.2k,22.5k,23.3k,22.5k,23.9k,24.6k,24.8k,26.3k,28k,29.3k,31.9k,27.7k,28.4k
South Korea,8350,9470,10.2k,11k,12.2k,13.4k,14.6k,15.6k,14.8k,16.6k,18.4k,19.6k,21.3k,22k,23.7k,25k,26.8k,29k,29.9k,29.5k,31.8k,32.8k,33.9k,34.5k,35.5k,38k,39.7k,41.1k,43.2k,43.4k,45.8k,47.8k
Kosovo,,,,,,,,,,,,,,,,,,,6850,6980,7350,7970,8300,8580,8830,9510,10.1k,10.7k,11.2k,12.1k,11.6k,13.3k
Kuwait,,,46.1k,56.9k,61.7k,68.5k,67.3k,70.3k,72.5k,66.8k,69.8k,67.3k,65.4k,75k,85.3k,94.3k,101k,101k,96.9k,85.4k,81.3k,83.4k,85.8k,81.2k,75.4k,51.5k,48.8k,57.8k,56.8k,55.9k,,
Lao,1010,1060,1110,1180,1260,1340,1430,1490,1530,1660,1720,1830,1950,2030,2230,2470,2630,2920,3120,3390,3540,3830,4510,4960,5570,5850,6510,6830,7390,7700,7700,8100
Lebanon,3650,4630,5500,6000,6590,7080,7780,7790,7930,7890,8100,8280,8230,7470,9290,9990,10.4k,11.8k,12.7k,13.6k,14.6k,15k,15.8k,15.5k,14.8k,15.2k,16.3k,17.7k,18k,17.4k,14.1k,13.7k
Liberia,,,,,,,,,,,860,830,840,580,610,650,710,780,840,870,900,1000,1040,1210,1230,1160,1280,1400,1360,1360,1390,1470
